Grade,Order
3rd,1
4th,2
Easy 5th,3
5,4
5.1,5
5.2,6
5.3,7
5.4,8
5.5,9
5.6,10
5.7,11
5.8,12
5.9,13
5.10-,14
5.10a,15
5.10b,16
5.10c,17
5.10d,18
5.10+,19
5.11-,20
5.11a,21
5.11b,22
5.11c,23
5.11d,24
5.11+,25
5.12-,26
5.12a,27
5.12b,28
5.12c,29
5.12d,30
5.12+,31
5.13-,32
5.13a,33
5.13b,34
5.13c,35
5.13d,36
5.13+,37
5.14-,38
5.14a,39
5.14b,40
5.14c,41
5.14d,42
5.14+,43
5.15-,44
5.15a,45
5.15b,46
5.15c,47
5.15d,48
5.15+,49
V-easy,50
V0,51
V1,52
V2,53
V3,54
V4,55
V5,56
V6,57
V7,58
V8,59
V9,60
V10,61
V11,62
V12,63
V13,64
V14,65
V15,66
V16,67
V17,68
V18,69
V19,70
V20,71
V?,72
A0,73
A1,74
A2,75
A3,76
A4,77
A5,78
C0,79
C1,80
C2,81
C3,82
C4,83
C5,84
WI1,85
WI2,86
WI3,87
WI4,88
WI5,89
WI6,90
WI7,91
WI8,92
WI9,93
WI10,94
AI1,95
AI2,96
AI3,97
AI4,98
AI5,99
AI6,100
AI7,101
AI8,102
AI9,103
AI10,104
AI?,105
WI?,106
M1,107
M2,108
M3,109
M4,110
M5,111
M6,112
M7,113
M8,114
M9,115
M10,116
M11,117
M12,118
M13,119
M14,120
M15,121
M16,122
M17,123
M18,124
M19,125
M20,126
Easy Snow,127
Mod. Snow,128
Steep Snow,129
PG13,130
R,131
X,132
